epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,339.075,0.86582,1.16194,1.16914,0.946,0.98112,0.99233,0.73334,0.95994,1.1383,1.29181,0.000660494,0.000660494,0.000660494
2,679.043,0.86514,0.74805,1.14128,0.99756,0.984,0.99459,0.75705,0.92878,0.79815,1.287,0.00126147,0.00126147,0.00126147
3,1019.13,0.84948,0.64588,1.13979,0.98885,0.984,0.99374,0.76882,0.9173,0.54919,1.28017,0.00179644,0.00179644,0.00179644
4,1356.62,0.8293,0.57683,1.13371,0.9681,0.984,0.99274,0.74085,0.91519,0.5901,1.25199,0.001703,0.001703,0.001703
5,1697.66,0.80898,0.53968,1.11562,1,0.99694,0.995,0.81414,0.79932,0.50516,1.21637,0.001604,0.001604,0.001604
6,2038.16,0.79243,0.50656,1.10954,0.99394,0.99467,0.99489,0.5766,1.22602,0.82972,1.48955,0.001505,0.001505,0.001505
7,2374.99,0.77771,0.49139,1.105,0.99909,0.99467,0.995,0.80824,0.76972,0.45481,1.22683,0.001406,0.001406,0.001406
8,2712,0.76388,0.48272,1.09607,0.99398,0.95733,0.99351,0.81096,0.73808,0.46131,1.20179,0.001307,0.001307,0.001307
9,3050,0.74729,0.45721,1.08721,0.99432,0.99467,0.99495,0.82328,0.72298,0.36008,1.13247,0.001208,0.001208,0.001208
10,3389.88,0.74029,0.44884,1.07817,0.99958,0.99467,0.995,0.82987,0.72272,0.36209,1.1342,0.001109,0.001109,0.001109
11,3721.65,0.62704,0.43707,1.08684,0.99347,0.98933,0.99473,0.78775,0.81659,0.39638,1.2463,0.00101,0.00101,0.00101
12,4057.11,0.61934,0.3949,1.07487,1,0.99702,0.995,0.81544,0.75181,0.34821,1.19862,0.000911,0.000911,0.000911
13,4390.7,0.58162,0.37828,1.05655,0.99979,0.99733,0.995,0.80489,0.77947,0.32145,1.18219,0.000812,0.000812,0.000812
14,4722.66,0.58361,0.36131,1.06015,0.99618,0.99467,0.99497,0.83155,0.72829,0.31734,1.15804,0.000713,0.000713,0.000713
15,5058.04,0.5629,0.34717,1.0528,0.99949,0.99467,0.995,0.81538,0.74657,0.34537,1.17417,0.000614,0.000614,0.000614
16,5394.25,0.56034,0.3383,1.03875,0.99977,0.99733,0.995,0.81986,0.72962,0.31217,1.16089,0.000515,0.000515,0.000515
17,5725.78,0.53689,0.32943,1.0272,0.99986,0.99733,0.995,0.8267,0.74217,0.31471,1.15053,0.000416,0.000416,0.000416
18,6058.12,0.52818,0.32041,1.01602,0.99968,0.99733,0.995,0.84002,0.70474,0.30501,1.12771,0.000317,0.000317,0.000317
19,6390.6,0.50764,0.31116,1.00545,0.99876,0.99733,0.995,0.84734,0.68195,0.30251,1.09942,0.000218,0.000218,0.000218
20,6719.49,0.49844,0.30137,0.99846,0.99951,0.99733,0.995,0.8363,0.7025,0.29599,1.10716,0.000119,0.000119,0.000119
